"";"Revenue";"Other Revenue, Total";"Total Revenue";"Cost of Revenue, Total";"Gross Profit";"Selling/General/Admin. Expenses, Total";"Research & Development";"Depreciation/Amortization";"Interest Expense(Income) - Net Operating";"Unusual Expense (Income)";"Other Operating Expenses, Total";"Total Operating Expense";"Operating Income";"Interest Income(Expense), Net Non-Operating";"Gain (Loss) on Sale of Assets";"Other, Net";"Income Before Tax";"Income After Tax";"Minority Interest";"Equity In Affiliates";"Net Income Before Extra. Items";"Accounting Change";"Discontinued Operations";"Extraordinary Item";"Net Income";"Preferred Dividends";"Income Available to Common Excl. Extra Items";"Income Available to Common Incl. Extra Items";"Basic Weighted Average Shares";"Basic EPS Excluding Extraordinary Items";"Basic EPS Including Extraordinary Items";"Dilution Adjustment";"Diluted Weighted Average Shares";"Diluted EPS Excluding Extraordinary Items";"Diluted EPS Including Extraordinary Items";"Dividends per Share - Common Stock Primary Issue";"Gross Dividends - Common Stock";"Net Income after Stock Based Comp. Expense";"Basic EPS after Stock Based Comp. Expense";"Diluted EPS after Stock Based Comp. Expense";"Depreciation, Supplemental";"Total Special Items";"Normalized Income Before Taxes";"Effect of Special Items on Income Taxes";"Income Taxes Ex. Impact of Special Items";"Normalized Income After Taxes";"Normalized Income Avail to Common";"Basic Normalized EPS";"Diluted Normalized EPS";"EndPeriod";"StartPeriod";"Company";"YearAvgPrice";"YearAvgPrice1QAfterStartPeriod";"YearAvgPrice2QAfterStartPeriod";"YearAvgPrice3QAfterStartPeriod";"YearAvgPrice4QAfterStartPeriod"
"2015-12-311166";0,62;NA;0,62;1,82;-1,21;6,99;2,73;NA;NA;0,64;NA;12,18;-11,56;NA;NA;-0,76;-13,07;-13,08;NA;NA;-13,08;NA;NA;NA;-13,08;NA;-13,08;-13,08;NA;NA;NA;NA;27,11;-0,48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,47;2015-12-31;2015-01-01;"NXTD";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311166";0;NA;0;NA;NA;3,83;1,42;NA;NA;NA;NA;5,25;-5,25;NA;NA;-2,21;-7,08;-7,08;NA;NA;-7,08;NA;NA;NA;-7,08;NA;-7,08;-7,08;NA;NA;NA;NA;22,85;-0,31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,31;2014-12-31;2014-01-01;"NXTD";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311154";0;NA;0;0;0;0,92;0,52;NA;NA;NA;NA;1,44;-1,44;NA;NA;NA;-1,54;-1,54;NA;NA;-1,54;NA;NA;NA;-1,54;NA;-1,54;-1,54;NA;NA;NA;0;21,41;-0,07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,07;2013-12-31;2013-01-01;"NXTD";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311107";0,25;NA;0,25;0,05;0,2;0,28;0,11;NA;NA;NA;NA;0,45;-0,19;NA;NA;NA;-0,19;-0,19;NA;NA;-0,19;NA;NA;NA;-0,19;NA;-0,19;-0,19;NA;NA;NA;0;20,2;-0,01;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,01;2012-12-31;NA;"NXTD";NA;NA;NA;NA;NA
"2015-12-311167";54,84;NA;54,84;27,14;27,7;23,63;18,49;NA;NA;4,95;NA;74,22;-19,38;NA;0,77;0,74;-16,45;-21,09;NA;NA;-21,09;NA;NA;NA;-21,09;NA;-21,09;-21,09;NA;NA;NA;NA;1301,46;-0,02;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,01;2015-12-31;2015-01-01;"OIIM";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311167";63,59;NA;63,59;30,86;32,73;24,72;21,89;NA;NA;2,95;NA;80,41;-16,82;NA;0,46;0,43;-13,87;-15,06;NA;NA;-15,06;NA;NA;NA;-15,06;NA;-15,06;-15,06;NA;NA;NA;NA;1362,46;-0,01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,01;2014-12-31;2014-01-01;"OIIM";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311155";73,78;NA;73,78;36,41;37,37;30,9;27,02;NA;NA;0;NA;94,33;-20,54;NA;NA;0,65;-18,1;-19,09;NA;NA;-19,09;NA;NA;NA;-19,1;NA;-19,09;-19,1;NA;NA;NA;0;1435,78;-0,01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,01;2013-12-31;2013-01-01;"OIIM";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311108";97,67;NA;97,67;44,07;53,6;34,59;34,31;NA;NA;12,66;NA;125,64;-27,97;NA;NA;0,87;-25,59;-26,69;NA;NA;-26,69;NA;NA;NA;-25,79;NA;-26,69;-25,79;NA;NA;NA;0;1552,19;-0,02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,01;2012-12-31;NA;"OIIM";NA;NA;NA;NA;NA
"2015-12-311168";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,96;4,91;NA;NA;4,91;NA;NA;NA;4,91;NA;4,91;4,91;NA;NA;NA;NA;8,04;0,61;NA;0,21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,61;2015-12-31;2015-01-01;"OVLY";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311168";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10,7;7,12;NA;NA;7,12;NA;NA;NA;7,12;NA;7,12;7,12;NA;NA;NA;NA;7,99;0,89;NA;0,17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,89;2014-12-31;2014-01-01;"OVLY";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311156";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,6;5,89;NA;NA;5,89;NA;NA;NA;5,89;NA;5,82;5,82;NA;NA;NA;NA;7,85;0,74;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,74;2013-12-31;2013-01-01;"OVLY";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311109";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,6;5,78;NA;NA;5,78;NA;NA;NA;5,78;NA;5,33;5,33;NA;NA;NA;NA;7,77;0,69;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,69;2012-12-31;NA;"OVLY";NA;NA;NA;NA;NA
"2015-12-311169";33,99;NA;33,99;22,65;11,34;10,59;NA;NA;NA;NA;NA;33,24;0,75;NA;NA;-0,01;0,7;0,46;NA;NA;0,46;NA;NA;NA;0,46;NA;0,46;0,46;NA;NA;NA;NA;9,03;0,05;NA;0,05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,05;2015-12-31;2015-01-01;"OBCI";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311169";33,93;NA;33,93;21,8;12,13;9,11;NA;NA;NA;NA;NA;30,9;3,02;NA;NA;NA;2,98;2,03;0,02;NA;2,05;NA;NA;NA;2,05;NA;2,05;2,05;NA;NA;NA;NA;8,95;0,23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,23;2014-12-31;2014-01-01;"OBCI";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311157";32,7;NA;32,7;21,81;10,89;8,58;NA;NA;NA;NA;NA;30,39;2,31;NA;NA;NA;2,25;1,44;0,03;NA;1,46;NA;NA;NA;1,46;NA;1,46;1,46;NA;NA;NA;NA;8,79;0,17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,17;2013-12-31;2013-01-01;"OBCI";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311110";31,04;NA;31,04;20,41;10,63;7,54;NA;NA;NA;NA;NA;27,96;3,08;NA;NA;NA;2,99;1,93;0,03;NA;1,96;NA;NA;NA;1,96;NA;1,96;1,96;NA;NA;NA;0;8,56;0,23;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,23;2012-12-31;NA;"OBCI";NA;NA;NA;NA;NA
"2015-04-3013";4,11;NA;4,11;4,67;-0,57;9,57;4,15;NA;NA;0;NA;18,39;-14,29;NA;NA;0,42;-14,36;-13,22;0,11;NA;-13,11;NA;NA;NA;-13,11;NA;-13,11;-13,11;NA;NA;NA;NA;1,75;-7,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-7,5;2015-04-30;2014-05-01;"OPTT";2,79428571428571;2,6927380952381;2,61547619047619;2,59535714285714;2,51671936758893
"2014-04-3014";1,5;NA;1,5;1,51;-0,01;9,36;4,56;NA;NA;-0,79;NA;14,65;-13,15;NA;NA;NA;-12,94;-11,19;0,22;NA;-10,97;NA;NA;NA;-10,97;NA;-10,97;-10,97;NA;NA;NA;NA;1,2;-9,11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-9,53;2014-04-30;2013-05-01;"OPTT";3,76702380952381;3,78472222222222;3,66190476190476;3,33492063492064;2,79924901185771
"2013-04-3015";3,62;NA;3,62;3,48;0,14;9,13;7,33;NA;NA;NA;NA;19,94;-16,32;NA;NA;NA;-16,28;-14,82;0,14;NA;-14,68;NA;NA;NA;-14,68;NA;-14,68;-14,68;NA;NA;NA;0;1,03;-14,25;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-14,25;2013-04-30;2012-05-01;"OPTT";3,65276;2,92944;3,04179282868526;3,41551587301587;3,76474308300395
"2012-04-308";5,74;NA;5,74;5,68;0,05;8,27;8,34;NA;NA;NA;NA;22,3;-16,56;NA;NA;NA;-16,24;-15,19;0,05;NA;-15,14;NA;NA;NA;-15,14;NA;-15,14;-15,14;NA;NA;NA;0;1,03;-14,73;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-14,73;2012-04-30;NA;"OPTT";NA;NA;NA;NA;NA
"2015-12-311170";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10,27;6,87;NA;NA;6,87;NA;NA;NA;6,87;NA;6,87;6,87;NA;NA;NA;NA;6,12;1,12;NA;0,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,12;2015-12-31;2015-01-01;"OSHC";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311170";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,82;6,3;NA;NA;6,3;NA;NA;NA;6,3;NA;6,3;6,3;NA;NA;NA;0;6,4;0,98;NA;0,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,98;2014-12-31;2014-01-01;"OSHC";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311158";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,19;5,35;NA;NA;5,35;NA;NA;NA;5,35;NA;5,35;5,35;NA;NA;NA;0;6,61;0,81;NA;0,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,81;2013-12-31;2013-01-01;"OSHC";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311111";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,18;5;NA;NA;5;NA;NA;NA;5;NA;5;5;NA;NA;NA;NA;6,72;0,74;NA;0,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,74;2012-12-31;NA;"OSHC";NA;NA;NA;NA;NA
"2015-12-311171";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31,2;20,32;NA;NA;20,32;NA;NA;NA;20,32;NA;20,32;20,32;NA;NA;NA;NA;16,81;1,21;NA;0,52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,28;2015-12-31;2015-01-01;"OCFC";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311171";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30,53;19,92;NA;NA;19,92;NA;NA;NA;19,92;NA;19,92;19,92;NA;NA;NA;NA;16,8;1,19;NA;0,49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,19;2014-12-31;2014-01-01;"OCFC";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311159";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24,94;16,33;NA;NA;16,33;NA;NA;NA;16,33;NA;16,33;16,33;NA;NA;NA;NA;17,16;0,95;NA;0,48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,95;2013-12-31;2013-01-01;"OCFC";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311112";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30,95;20,02;NA;NA;20,02;NA;NA;NA;20,02;NA;20,02;20,02;NA;NA;NA;NA;17,83;1,12;NA;0,48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,12;2012-12-31;NA;"OCFC";NA;NA;NA;NA;NA
"2015-12-311172";0,13;NA;0,13;NA;NA;10,32;15,98;0,17;NA;0;NA;26,47;-26,34;NA;NA;0;-26,75;-26,75;NA;NA;-26,75;NA;NA;NA;-26,52;NA;-26,75;-26,52;NA;NA;NA;NA;20,07;-1,33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,33;2015-12-31;2015-01-01;"OCRX";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311172";0,34;NA;0,34;NA;NA;9,91;14,95;0,16;NA;0;NA;25,02;-24,68;NA;NA;-0,01;-24,62;-24,62;NA;NA;-24,62;NA;NA;NA;-23,43;NA;-24,62;-23,43;NA;NA;NA;NA;17,53;-1,41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,41;2014-12-31;2014-01-01;"OCRX";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311160";0,09;NA;0,09;NA;NA;8,5;3,55;0,29;NA;3,07;NA;15,41;-15,33;NA;NA;-0,18;-15,49;-15,49;NA;NA;-15,49;NA;NA;NA;-17,51;NA;-15,49;-17,51;NA;NA;NA;NA;6,15;-2,52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2,02;2013-12-31;2013-01-01;"OCRX";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311113";0;NA;0;NA;NA;1,74;1,64;0;NA;0;NA;3,38;-3,38;NA;NA;-0,23;-3,61;-3,61;NA;NA;-3,61;NA;NA;NA;-3,61;NA;-3,61;-3,61;NA;NA;NA;NA;0,63;-5,76;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-5,76;2012-12-31;NA;"OCRX";NA;NA;NA;NA;NA
"2015-06-274";341,28;NA;341,28;284,53;56,75;56,26;46,42;1,13;NA;-1,6;NA;386,74;-45,46;NA;NA;1,75;-47,91;-48,23;NA;NA;-48,23;NA;NA;NA;-56,69;NA;-48,23;-56,69;NA;NA;NA;NA;108,14;-0,45;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,46;2015-06-27;2014-06-29;"OCLR";2,72717131474104;2,62043824701195;2,61235059760956;2,53584;2,45824701195219
"2014-06-284";390,87;NA;390,87;338,42;52,45;70,94;64,22;1,68;NA;17,94;NA;493,2;-102,33;NA;NA;1,23;-111,49;-102,12;NA;NA;-102,12;NA;NA;NA;17,82;NA;-102,12;17,82;NA;NA;NA;0;98,99;-1,03;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,91;2014-06-28;2013-06-30;"OCLR";3,80749003984064;3,77191235059761;3,43486055776892;2,93860557768924;2,72717131474104
"2013-06-294";404,63;NA;404,63;376,46;28,17;78,62;79,27;5,03;NA;-34,82;NA;504,56;-99,93;NA;NA;-2,53;-120,27;-120,3;NA;NA;-120,3;NA;NA;NA;-122,75;NA;-120,3;-122,75;NA;NA;NA;NA;87,77;-1,37;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,63;2013-06-29;2012-07-01;"OCLR";3,04068273092369;2,94293172690763;3,31139442231076;3,68829365079365;3,80749003984064
"2012-06-3086";194,21;NA;194,21;165,53;28,68;49,49;43,53;2,72;NA;0,6;NA;261,88;-67,67;NA;NA;2,24;-61,97;-64;NA;NA;-64;NA;NA;NA;-66,5;NA;-64;-66,5;NA;NA;NA;NA;50,4;-1,27;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,26;2012-06-30;NA;"OCLR";NA;NA;NA;NA;NA
"2015-06-3089";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,2;4,51;NA;NA;4,51;NA;NA;NA;4,51;NA;4,46;4,46;NA;NA;NA;NA;5,7;0,78;NA;0,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,78;2015-06-30;2014-07-01;"OFED";2,72638888888889;2,61686507936508;2,6122619047619;2,52988047808765;2,45549407114625
"2014-06-3090";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,69;3,64;NA;NA;3,64;NA;NA;NA;3,64;NA;3,6;3,6;NA;NA;NA;NA;5,63;0,64;NA;0,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,64;2014-06-30;2013-07-01;"OFED";3,80511904761905;3,76801587301587;3,43210317460317;2,93222222222222;2,72830039525692
"2013-06-3093";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,47;4,04;NA;NA;4,04;NA;NA;NA;4,04;NA;3,99;3,99;NA;NA;NA;NA;6;0,67;NA;0,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,67;2013-06-30;2012-07-01;"OFED";3,04068273092369;2,94293172690763;3,31139442231076;3,69071146245059;3,80511904761905
"2012-06-3087";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,58;4,01;NA;NA;4,01;NA;NA;NA;4,01;NA;3,96;3,96;NA;NA;NA;NA;6,06;0,65;NA;0,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,65;2012-06-30;NA;"OFED";NA;NA;NA;NA;NA
"2015-12-311173";1,75;NA;1,75;0,32;1,43;13,02;26,61;NA;NA;NA;NA;39,95;-38,2;NA;NA;0,01;-39,75;-39,75;NA;NA;-39,75;NA;NA;NA;-39,75;NA;-39,75;-39,75;NA;NA;NA;NA;23,24;-1,71;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,71;2015-12-31;2015-01-01;"OCUL";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311173";0,77;NA;0,77;0,09;0,68;8,89;18,88;NA;NA;NA;NA;27,87;-27,09;NA;NA;-0,44;-28,65;-28,65;NA;NA;-28,65;NA;NA;NA;-28,65;NA;-28,66;-28,66;NA;NA;NA;NA;10,65;-2,69;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2,69;2014-12-31;2014-01-01;"OCUL";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311161";0;NA;0;0;0;2,39;10,52;NA;NA;NA;NA;12,9;-12,9;NA;NA;0,01;-13,32;-13,32;NA;NA;-13,32;NA;NA;NA;-13,32;NA;-13,34;-13,34;NA;NA;NA;0;20,57;-0,65;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,65;2013-12-31;2013-01-01;"OCUL";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311114";0,01;NA;0,01;0,01;0;2,13;11,54;NA;NA;NA;NA;13,68;-13,67;NA;NA;-0,05;-14,09;-14,09;NA;NA;-14,09;NA;NA;NA;-14,09;NA;-14,13;-14,13;NA;NA;NA;0;20,57;-0,69;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,69;2012-12-31;NA;"OCUL";NA;NA;NA;NA;NA
"2016-03-3144";15,08;NA;15,08;7,87;7,21;15,56;1,81;NA;NA;0;NA;25,24;-10,15;NA;NA;-0,02;-10,16;-10,16;NA;NA;-10,16;NA;NA;NA;-10,16;NA;-10,16;-10,16;NA;NA;NA;NA;3,29;-3,09;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,09;2016-03-31;2015-04-01;"OCLS";2,52888888888889;2,45403162055336;2,41916230366492;2,37330708661417;2,49287878787879
"2015-03-3157";13,85;NA;13,85;6,57;7,29;12,41;1,53;NA;NA;4,65;NA;25,16;-11,31;NA;NA;-0,06;-8,2;-8,2;NA;NA;-8,2;NA;NA;NA;-8,2;NA;-8,2;-8,2;NA;NA;NA;0;1,93;-4,25;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,84;2015-03-31;2014-04-01;"OCLS";2,93222222222222;2,72638888888889;2,61686507936508;2,61210317460317;2,53115079365079
"2014-03-3157";13,67;NA;13,67;5,27;8,4;11,56;2,89;NA;NA;0;NA;19,72;-6,05;NA;NA;-0,08;3,73;3,73;NA;NA;3,73;NA;NA;NA;3,73;NA;3,73;3,73;NA;NA;NA;NA;1,38;2,71;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,71;2014-03-31;2013-04-01;"OCLS";3,69071146245059;3,80511904761905;3,76801587301587;3,4275;2,93762845849802
"2013-03-3161";15,45;NA;15,45;4,71;10,74;11,89;2,22;NA;NA;NA;NA;18,83;-3,37;NA;NA;-0,12;-5,43;-5,43;NA;NA;-5,43;NA;NA;NA;-5,43;NA;-6,49;-6,49;NA;NA;NA;NA;1;-6,52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-6,52;2013-03-31;NA;"OCLS";NA;NA;NA;NA;NA
"2015-12-311174";5,33;NA;5,33;1,45;3,88;22,89;NA;NA;NA;-3,09;NA;21,24;-15,91;NA;NA;0,39;-21,25;-21,25;3,04;NA;-18,21;NA;NA;NA;-18,21;NA;-18,21;-18,21;NA;NA;NA;NA;7,41;-2,46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2,87;2015-12-31;2015-01-01;"OMEX";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311174";1,32;NA;1,32;0,25;1,08;29,27;NA;NA;NA;NA;NA;29,52;-28,19;NA;NA;0,1;-29,14;-28,66;2,19;NA;-26,47;NA;NA;NA;-26,47;NA;-26,47;-26,47;NA;NA;NA;0;7,07;-3,74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,74;2014-12-31;2014-01-01;"OMEX";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311162";23,91;NA;23,91;0,69;23,22;40,19;NA;NA;NA;NA;NA;40,88;-16,97;NA;NA;0,58;-14,37;-14,86;4,12;NA;-10,74;NA;NA;NA;-10,74;NA;-10,74;-10,74;NA;NA;NA;0;6,68;-1,61;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,61;2013-12-31;2013-01-01;"OMEX";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311115";13,2;NA;13,2;0,24;12,96;28,55;NA;NA;NA;0;NA;28,78;-15,59;NA;NA;0,01;-18,18;-18,18;NA;NA;-18,18;NA;NA;NA;-18,18;NA;-18,19;-18,19;NA;NA;NA;0;6,16;-2,95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2,95;2012-12-31;NA;"OMEX";NA;NA;NA;NA;NA
"2015-12-2616";14485;NA;14485;10983;3502;3042;NA;NA;NA;345;NA;14370;115;NA;0;1;47;8;0;NA;8;NA;NA;NA;8;NA;8;8;NA;NA;NA;NA;547;0,01;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,42;2015-12-26;2014-12-28;"ODP";2,61235059760956;2,53584;2,45824701195219;2,41746113989637;2,38015384615385
"2014-12-2719";16096;NA;16096;12320;3776;3479;NA;NA;NA;572;NA;16371;-275;NA;0;0;-340;-352;-2;NA;-354;NA;NA;NA;-354;NA;-354;-354;NA;NA;NA;0;535;-0,66;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,03;2014-12-27;2013-12-29;"ODP";3,43486055776892;2,93860557768924;2,72717131474104;2,62043824701195;2,61235059760956
"2013-12-2833";11242;NA;11242;8616;2626;2560;NA;NA;NA;271;NA;11447;-205;NA;382;14;127;-20;NA;NA;-20;NA;NA;NA;-20;NA;-93;-93;NA;NA;NA;NA;318;-0,29;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,52;2013-12-28;2012-12-30;"ODP";3,31139442231076;3,68829365079365;3,80749003984064;3,77191235059761;3,43486055776892
"2012-12-2933";10696;NA;10696;8160;2536;2440;NA;NA;NA;139;NA;10739;-43;NA;0;35;-75;-77;NA;NA;-77;NA;NA;NA;-77;NA;-110;-110;NA;NA;NA;NA;280;-0,39;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,07;2012-12-29;NA;"ODP";NA;NA;NA;NA;NA
"2015-12-311175";32,26;NA;32,26;15,93;16,34;2,73;NA;0,2;NA;NA;NA;18,85;13,41;NA;NA;NA;18,23;18,23;NA;NA;18,23;NA;NA;NA;18,23;NA;18,23;18,23;NA;NA;NA;NA;9,67;1,89;NA;1,36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,89;2015-12-31;2015-01-01;"OFS";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311175";22,82;NA;22,82;11,26;11,56;2,21;NA;0,21;NA;NA;NA;13,69;9,13;NA;NA;NA;9,94;9,94;NA;NA;9,94;NA;NA;NA;9,94;NA;9,94;9,94;NA;NA;NA;0;9,63;1,03;NA;1,36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,03;2014-12-31;2014-01-01;"OFS";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
