"";"Revenue";"Other Revenue, Total";"Total Revenue";"Cost of Revenue, Total";"Gross Profit";"Selling/General/Admin. Expenses, Total";"Research & Development";"Depreciation/Amortization";"Interest Expense(Income) - Net Operating";"Unusual Expense (Income)";"Other Operating Expenses, Total";"Total Operating Expense";"Operating Income";"Interest Income(Expense), Net Non-Operating";"Gain (Loss) on Sale of Assets";"Other, Net";"Income Before Tax";"Income After Tax";"Minority Interest";"Equity In Affiliates";"Net Income Before Extra. Items";"Accounting Change";"Discontinued Operations";"Extraordinary Item";"Net Income";"Preferred Dividends";"Income Available to Common Excl. Extra Items";"Income Available to Common Incl. Extra Items";"Basic Weighted Average Shares";"Basic EPS Excluding Extraordinary Items";"Basic EPS Including Extraordinary Items";"Dilution Adjustment";"Diluted Weighted Average Shares";"Diluted EPS Excluding Extraordinary Items";"Diluted EPS Including Extraordinary Items";"Dividends per Share - Common Stock Primary Issue";"Gross Dividends - Common Stock";"Net Income after Stock Based Comp. Expense";"Basic EPS after Stock Based Comp. Expense";"Diluted EPS after Stock Based Comp. Expense";"Depreciation, Supplemental";"Total Special Items";"Normalized Income Before Taxes";"Effect of Special Items on Income Taxes";"Income Taxes Ex. Impact of Special Items";"Normalized Income After Taxes";"Normalized Income Avail to Common";"Basic Normalized EPS";"Diluted Normalized EPS";"EndPeriod";"StartPeriod";"Company";"YearAvgPrice";"YearAvgPrice1QAfterStartPeriod";"YearAvgPrice2QAfterStartPeriod";"YearAvgPrice3QAfterStartPeriod";"YearAvgPrice4QAfterStartPeriod"
"2015-09-3082";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;249,52;160,32;NA;NA;160,32;NA;NA;NA;160,32;NA;160,32;160,32;NA;NA;NA;NA;96,05;1,67;NA;0,54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,74;2015-09-30;2014-10-01;"WAFD";2,61519841269841;2,61210317460317;2,52988047808765;2,4525;2,41916230366492
"2014-09-3088";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;244,93;157,36;NA;NA;157,36;NA;NA;NA;157,36;NA;157,36;157,36;NA;NA;NA;NA;101,59;1,55;NA;0,46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,55;2014-09-30;2013-10-01;"WAFD";3,76416666666667;3,4275;2,93222222222222;2,72484126984127;2,61553359683794
"2013-09-3091";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;234,62;151,5;NA;NA;151,5;NA;NA;NA;151,5;NA;151,5;151,5;NA;NA;NA;0;104,84;1,45;NA;0,36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,45;2013-09-30;2012-10-01;"WAFD";2,94584;3,31365079365079;3,69071146245059;3,80575396825397;3,76379446640316
"2012-09-3093";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;215,91;138,18;NA;NA;138,18;NA;NA;NA;138,18;NA;138,18;138,18;NA;NA;NA;NA;107,15;1,29;NA;0,32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,86;2012-09-30;NA;"WAFD";NA;NA;NA;NA;NA
"2015-12-311729";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64,34;43,47;NA;NA;43,47;NA;NA;NA;43,47;NA;43,34;43,34;NA;NA;NA;NA;17,07;2,54;NA;1,36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,58;2015-12-31;2015-01-01;"WASH";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311733";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59,82;40,82;NA;NA;40,82;NA;NA;NA;40,82;NA;40,67;40,67;NA;NA;NA;NA;16,87;2,41;NA;1,22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,41;2014-12-31;2014-01-01;"WASH";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311720";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52,68;36,15;NA;NA;36,15;NA;NA;NA;36,15;NA;36;36;NA;NA;NA;NA;16,66;2,16;NA;1,03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,35;2013-12-31;2013-01-01;"WASH";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311652";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50,87;35,07;NA;NA;35,07;NA;NA;NA;35,07;NA;34,91;34,91;NA;NA;NA;NA;16,4;2,13;NA;0,94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,3;2012-12-31;NA;"WASH";NA;NA;NA;NA;NA
"2015-12-311730";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,72;12,26;NA;NA;12,26;NA;NA;NA;12,26;NA;12,18;12,18;NA;NA;NA;NA;10,27;1,19;NA;0,21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,22;2015-12-31;2015-01-01;"WFBI";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311734";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,78;9,42;NA;NA;9,42;NA;NA;NA;9,42;NA;9,26;9,26;NA;NA;NA;0;8,29;1,12;NA;0,16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,13;2014-12-31;2014-01-01;"WFBI";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311721";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,97;6,34;NA;NA;6,34;NA;NA;NA;6,34;NA;6,16;6,16;NA;NA;NA;0;8,1;0,76;NA;0,04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,76;2013-12-31;2013-01-01;"WFBI";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311653";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,41;2,23;NA;NA;2,23;NA;NA;NA;2,23;NA;2,06;2,06;NA;NA;NA;0;3,67;0,56;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,98;2012-12-31;NA;"WFBI";NA;NA;NA;NA;NA
"2015-12-311731";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25,82;16,57;NA;NA;16,57;NA;NA;NA;16,57;NA;16,57;16,57;NA;NA;NA;NA;29,43;0,56;NA;0,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,56;2015-12-31;2015-01-01;"WSBF";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
